,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1666,19.506028089931,0.726557647648424,0.709556357548901,1.02396045066561,0.305853955586912,0.437888665698769
gene1667,48.8583519248752,-3.21957172093847,0.568495229215491,-5.6633223208951,1.48469896478384e-08,1.86784708472806e-07
gene1668,4.67131226760862,-0.672146094911683,1.19132104708281,-0.56420231687971,0.572616451231501,0.679611734571775
gene1669,15.0779842048688,-0.394087623353308,0.854179947914155,-0.461363702479368,0.644537688594787,0.740685265306591
gene1670,28.9709671341633,-0.679144275962465,0.609347563216489,-1.11454335252864,0.265046156862467,0.39453435563497
gene1671,5.86598529975391,-0.00123503912971635,1.17104914169723,-0.00105464329868034,0.999158516550822,0.999671168432069
gene1672,33.9538375408843,1.51059605791016,0.605736271764604,2.49381806625111,0.0126377301677274,0.0341323737217014
gene1673,18.7328024395034,-5.79428502758538,1.27066439371395,-4.56004359313917,5.11430028024764e-06,3.62650383508469e-05
gene1674,18.2148620653117,-2.07993713821189,0.814548721424948,-2.55348401329918,0.0106651174500878,0.0300534379012588
gene1675,1.85782384003062,-1.02361353336288,1.84174381537468,-0.55578497118756,0.57835786063225,0.684343342374325
gene1676,58.1689815484271,3.12138859189112,0.659807729141281,4.73075481542708,2.23686554635833e-06,1.72406633019713e-05
gene1677,13.0457122681831,-3.1725742482007,0.86644309986546,-3.66160714845941,0.000250637994337573,0.00118054127767697
gene1678,40.8899188926017,0.0212412149493817,0.518336965040885,0.0409795487915979,0.967312199864518,0.974307226103207
gene1679,9.34521456929939,0.949455287422714,0.888571220668029,1.06851906221868,0.285286436417398,0.41702290180954
gene1680,202.063687795451,-0.298022270181762,0.373868718767423,-0.797130798116213,0.42537507130712,0.551883825049158
gene1681,6.49023657279097,0.310382556311368,2.63965017460536,0.117584731225899,0.906396703725368,0.932703732065682
gene1682,11.9714534312432,0.0578817068662599,0.909731291342125,0.063625058758688,0.949268778159715,0.963097875864435
gene1683,4.95924330245299,-1.56390821934297,1.15807359839085,-1.35043940343345,0.176875078705865,0.289593957578873
gene1684,111.178503719832,2.86902633198142,0.517309023947608,5.54605893028456,2.92180384528437e-08,3.3514808813556e-07
gene1685,3.5425298005117,-2.65172097668741,1.81884448768214,-1.45791517342236,0.144863925738434,0.247822995509834
gene1686,60.2560225637027,1.78905507312952,0.582637428774522,3.07061473357881,0.00213618595101039,0.00774268142094843
gene1687,56.771468897109,1.95499531514188,0.657692422352383,2.97250697848913,0.00295378495324155,0.0100697214315053
gene1688,20.0474726188913,-3.6540555223342,0.808741662292916,-4.51819869397398,6.23679446595889e-06,4.31267702433327e-05
gene1689,9.48319501424665,-2.46693429400463,1.08898648561788,-2.26534886023393,0.0234912799113182,0.0572599947838381
gene1690,17.5440150332915,-3.00056578273228,0.755936914130294,-3.96933358676422,7.20739218604887e-05,0.000393681085792585
gene1691,232.699994220105,2.83683199367895,0.378249859781641,7.49988908209143,6.38718578744868e-14,2.1110190314449e-12
gene1692,292.51913250661,4.4219942786051,0.494907852217089,8.93498508620431,4.07233137672812e-19,2.56162780149027e-17
gene1693,10.9877668611743,-1.07049366062298,0.913306782266484,-1.17210742480902,0.241153929341959,0.366238444094097
gene1694,6.10687308476376,-3.51554349745111,1.52999689846233,-2.29774550587931,0.0215762779398103,0.0533689003570759
gene1695,0.860161345601461,-0.857286083953397,2.79966538837253,-0.306210194801796,0.75944461067062,0.827327927825535
gene1696,31.6801068842724,2.33400957759278,0.734022094811499,3.17975384404766,0.00147400205127512,0.00564696267187913
gene1697,150.340500618663,0.573988575693136,0.469635422385941,1.22220034591309,0.221631873106162,0.343001708378583
gene1698,17.6163105197846,-3.6354576821587,0.846309840896526,-4.29565805155655,1.74175889705178e-05,0.000106805970102232
gene1699,55.492155429131,2.21424532913356,0.648568783976648,3.41404856946259,0.00064005164597618,0.00270737681052831
gene1700,22.0438466433721,-0.602624655844087,0.639624491146398,-0.942153817099785,0.346113894623464,0.47630352471119
gene1701,59.2559780370514,2.07611772717127,0.505681781752342,4.10558141916223,4.03299198652302e-05,0.000230625641458061
gene1702,1.78113937596534,-2.18743720309755,2.25403662830188,-0.97045326399398,0.331820609952448,0.464834906183387
gene1703,25.5900643866327,2.13557294365104,0.75843025049237,2.81578028073726,0.0048658932343087,0.0152303239276115
gene1704,63.3416256033566,-0.21907781919282,0.479718848733241,-0.456679615093972,0.647901344958758,0.744056314881966
gene1705,398.708805865876,2.61357309277612,0.414834428408737,6.30028009681242,2.9710825246613e-10,5.31523937898123e-09
gene1706,7.2423091941238,-4.39028377689546,1.40244682097595,-3.13044581172803,0.0017454119761187,0.00648104303435332
gene1707,52.3401725369013,1.02159035905881,0.574192285282499,1.77917813464908,0.0752105619409893,0.146670014208475
gene1708,5.47867648219393,-1.34266441299088,1.3783518946157,-0.97410858448831,0.330002627588332,0.46295332647284
gene1709,78.5567771239684,-3.49494481852312,0.583082772938562,-5.99390855076998,2.04856601617086e-09,3.07284902425629e-08
gene1710,88.8200087196783,1.31330470631066,0.41615801299035,3.15578377759392,0.00160067472733544,0.00601409579634702
gene1711,25.5804524475182,2.61441082359959,0.833809051898677,3.13550304790561,0.00171559645634394,0.0063843761257074
gene1712,4.10703058100351,-5.47735358961522,1.79257496054372,-3.05557854492949,0.00224626758874284,0.00803710421660283
gene1713,0.400667612940986,0.83910003217908,3.77269693501755,0.222413845223212,0.823991734795942,NA
gene1714,63.9093214763832,-3.80536972144649,0.545854904312424,-6.97139421370566,3.1381524868421e-12,7.64924668667762e-11
gene1715,6.04918473598602,-0.213802742106825,1.0323980604804,-0.207093320194089,0.8359369787348,0.886611959064307
gene1716,9.92491125461246,-1.14345664413863,0.929312308093333,-1.23043312154625,0.218534956664001,0.341460869787501
gene1717,737.221958031811,0.714500717698582,0.362066533495184,1.97339618992454,0.0484504413723416,0.101698988887046
gene1718,5.53402323367496,-2.91285847881826,1.26606522672138,-2.30071754388314,0.0214076017879278,0.0530429777464538
gene1719,4.20833621225898,-3.5656388787896,1.55926997338933,-2.28673606215804,0.0222112334480577,0.0547927166227342
gene1720,5.21577531545918,0.601185815778464,1.45178901809645,0.41409998855531,0.678800881189601,0.768676956050942
gene1721,14.2233453020479,0.218102551092254,0.907898017934912,0.2402280286814,0.810153486031765,0.869404344086819
gene1722,18.3034243047094,-0.398128529190286,0.705357538311729,-0.564435066708447,0.572458079494855,0.679611734571775
gene1723,90.7284427177559,-2.19677108941429,0.473876201833589,-4.63574891694125,3.55647457984935e-06,2.59742525494616e-05
gene1724,15.6195392400678,-2.81903388413073,0.822923143150414,-3.42563446853441,0.000613365234604578,0.00261720395509612
gene1725,4.33609827872108,-0.157147613399602,1.3306549614225,-0.118097942709061,0.905990053526244,0.932703732065682
gene1726,115.625606465895,3.23323953268043,0.521471046139993,6.20022828997574,5.6381318098223e-10,9.56031046013346e-09
gene1727,148.912938835951,2.39377234171818,0.420216933275295,5.69651566170931,1.22280663532202e-08,1.56873219663022e-07
gene1728,37.7933697237415,1.66973943511075,0.754024257636045,2.21443729190567,0.0267987119553118,0.0637430883007442
gene1729,13.1052308318073,-0.970970574443944,1.00527166757599,-0.965878782583461,0.334104840456262,0.466359655611819
gene1730,3.97278351294926,-5.42875887205769,1.72164553972806,-3.15323842613689,0.0016146986542238,0.00604778295162855
gene1731,2.14551460152894,-0.863468557008442,1.70052079398125,-0.507767126438305,0.611616666475368,0.715448410094162
gene1732,30.1828984120106,-2.56543884276336,0.647826485563236,-3.96007094481928,7.49275003881121e-05,0.000406987815478603
gene1733,59.2693413872692,-1.3797350207787,0.489256813223963,-2.82006296792665,0.00480142267010486,0.0150894508445054
gene1734,25.7714832580873,-3.59627178603247,0.680641144565066,-5.28365323599488,1.26632846057717e-07,1.25347233407385e-06
gene1735,122.494623954252,0.483524119666784,0.475110952642694,1.01770779431056,0.308816842061125,0.439877897749593
gene1736,4.04540532855823,-2.86712511484622,1.61151519842057,-1.77914866558892,0.0752153919017821,0.146670014208475
gene1737,5.45482214932909,3.0212698359978,1.49131524854825,2.02590957139272,0.0427740522297572,0.0919618542977139
gene1738,36.5775755140509,-0.982387299040158,0.584845913235822,-1.67973696457043,0.0930085044031498,0.173950314301175
gene1739,20.0341999623511,-0.939392449014277,0.661337464406601,-1.42044341893917,0.155478629906183,0.261445067555154
gene1740,2.461603434569,-4.73739569542188,2.14032631485874,-2.21339879930156,0.026870163376006,0.0637430883007442
gene1741,1.81138154071542,-3.22986971221293,2.22074674315137,-1.45440704671688,0.145833487429499,0.248445434298766
gene1742,22.5131450913869,0.862963363567235,0.802069248990254,1.07592126821174,0.281962469213034,0.413403620274749
gene1743,29.7701972283646,-2.88008625206416,0.727790440219375,-3.95730157048508,7.58012089553325e-05,0.000410589881841384
gene1744,27.5679529236901,-0.282834502721329,0.548991242029082,-0.51518946217788,0.606420632035274,0.711076507798427
gene1745,333.824836554825,2.9097175670121,0.415151721969491,7.00880524644898,2.40361749169435e-12,6.087083258187e-11
gene1746,89.688504374497,0.341120529116449,0.433992005016291,0.786006482086334,0.43186368960921,0.557771857865108
gene1747,42.159669268053,0.326576567502967,0.517988167870464,0.630471095209719,0.528386408419936,0.642365022705035
gene1748,117.172602752054,1.05528361466925,0.434842649029636,2.42681718783599,0.0152319289890096,0.0398153639793147
gene1749,71.4834353711394,-1.39830912093158,0.452628581609803,-3.08930805023052,0.00200623300210923,0.00736752232412995
gene1750,30.280554787523,-0.51850481173882,0.659232243095077,-0.786528294345032,0.431558049497076,0.557771857865108
gene1751,15.2274099483336,0.660307624346492,0.744320368937963,0.887128247328036,0.375009857592406,0.505718687624614
gene1752,8.91832540466895,0.0489940470003236,0.876393201633014,0.0559041842280739,0.955418137513017,0.967777729081914
gene1753,45.5746641354462,0.476347988033802,0.560245803599804,0.850248203508309,0.395187107154254,0.524942002010079
gene1754,111.383636435417,-1.75752184611173,0.407714399723626,-4.31066905486559,1.62761341727491e-05,0.000100438169736901
gene1755,60.1399000854281,1.42080813473199,0.550110696695151,2.58276769251652,0.00980112937165891,0.0279010252185911
gene1756,32.9852681572346,-1.31146973069625,0.596708712412848,-2.19783908532724,0.0279605750528464,0.0658491803780802
gene1757,129.729352016264,3.10315754031254,0.622066474458365,4.98846613300366,6.08605779001286e-07,5.32188909889017e-06
gene1758,9.3508142558491,-1.70912330739698,1.07376154989804,-1.5917158772907,0.11144855917757,0.202162502694197
gene1759,5.05044469519373,-2.40468285870203,1.32874044344201,-1.80974611751327,0.0703351672407395,0.139242209258317
gene1760,7.82295429168957,-3.44862349532802,1.18418832665948,-2.91222554528669,0.00358863409688368,0.0118808768912108
gene1761,16.6983355316637,-1.6258187525857,0.690630147078048,-2.3541091559126,0.0185671579028444,0.047204638736045
gene1762,24.6765756598879,2.03625764806032,0.673661234445418,3.02267303496637,0.00250552794621914,0.00880320629752671
gene1763,11.3645993891921,-0.97397188408347,0.804743191742695,-1.21028906373759,0.226167992658423,0.347539468624054
gene1764,7.42594603979444,-1.26280343196834,1.14497834913765,-1.10290594832595,0.270068010804225,0.399266581552873
gene1765,10.1397823262959,-1.83035131681094,1.09413222022291,-1.67287945915535,0.0943510282587337,0.175893408321731
gene1766,20.3114710540871,0.73485119092051,0.650709144237913,1.12930822845765,0.258767830954744,0.386961096903183
gene1767,145.260225485178,-1.42261117201649,0.401907226038879,-3.5396506453429,0.000400657028271042,0.00180018710859109
gene1768,25.393685023091,-4.01518220914617,0.937962494315433,-4.28074921276744,1.86265169648101e-05,0.000113151738571276
gene1769,149.271157560532,1.74579856981626,0.383631745646153,4.55071455798268,5.34640372711832e-06,3.74697534690637e-05
